genres,id,original_title
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",78406,Steal Big Steal Little
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",55731,Race the Sun
"[{'id': 18, 'name': 'Drama'}]",32119,The Boys of St. Vincent
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11066,Boomerang
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11104,重慶森林
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",37975,L'uomo delle stelle
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2074,Flirting with Disaster
"[{'id': 14, 'name': 'Fantasy'}]",27793,The NeverEnding Story III
"[{'id': 18, 'name': 'Drama'}]",44284,صمت القصور
[],290157,Jupiter's Wife
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",110972,Pie in the Sky
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",32622,Angela
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",73067,Frankie Starlight
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",11863,Jade
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",55475,Nueba Yol
"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",124636,Sonic Outlaws
"[{'id': 35, 'name': 'Comedy'}]",9101,Down Periscope
"[{'id': 99, 'name': 'Documentary'}]",123360,From the Journals of Jean Seberg
"[{'id': 35, 'name': 'Comedy'}]",5757,Man of the Year
"[{'id': 18, 'name': 'Drama'}]",39428,The Neon Bible
[],124639,Target
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9302,Up Close & Personal
"[{'id': 35, 'name': 'Comedy'}]",11000,The Birdcage
"[{'id': 18, 'name': 'Drama'}]",249882,Gospa
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",16388,The Brothers McMullen
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",9737,Bad Boys
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",30765,The Amazing Panda Adventure
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",10474,The Basketball Diaries
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",22279,An Awfully Big Adventure
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",30157,Amateur
"[{'id': 18, 'name': 'Drama'}]",568,Apollo 13
"[{'id': 12, 'name': 'Adventure'}]",11780,Rob Roy
"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",34996,The Addiction
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",414,Batman Forever
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",649,Belle de jour
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1873,Beyond Rangoon
"[{'id': 35, 'name': 'Comedy'}]",5894,Blue in the Face
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",1775,Canadian Bacon
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",8839,Casper
"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",20649,Clockers
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",10329,Congo
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",8963,Crimson Tide
"[{'id': 99, 'name': 'Documentary'}]",26564,Crumb
"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",8068,Desperado
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8512,Devil in a Blue Dress
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1572,Die Hard: With a Vengeance
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",13552,The Doom Generation
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",259209,Feast of July
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6520,First Knight
"[{'id': 12, 'name': 'Adventure'}]",9073,Free Willy 2 - The Adventure Home
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",10428,Hackers
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17447,Jeffrey
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",9886,Johnny Mnemonic
"[{'id': 878, 'name': 'Science Fiction'}]",9482,Judge Dredd
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",19326,Jury Duty
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",9344,Kids
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",9071,Living in Oblivion
"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",8973,Lord of Illusions
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",15730,Love & Human Remains
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",47608,Mad Love
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2293,Mallrats
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",9070,Mighty Morphin Power Rangers: The Movie
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",68274,Moonlight and Valentino
"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",48787,Mute Witness
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",34574,Nadja
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",1642,The Net
"[{'id': 35, 'name': 'Comedy'}]",11472,Nine Months
"[{'id': 35, 'name': 'Comedy'}]",36196,Party Girl
"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",11980,The Prophecy
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",58372,Reckless
"[{'id': 18, 'name': 'Drama'}]",32646,Safe
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",10533,The Scarlet Letter
"[{'id': 99, 'name': 'Documentary'}]",56088,The Show
"[{'id': 18, 'name': 'Drama'}]",10802,Showgirls
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",10149,Smoke
"[{'id': 35, 'name': 'Comedy'}]",18402,Something to Talk About
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",9348,Species
"[{'id': 18, 'name': 'Drama'}]",139408,The Stars Fell on Henrietta
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",281,Strange Days
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5967,Les parapluies de Cherbourg
"[{'id': 53, 'name': 'Thriller'}]",79593,The Tie That Binds
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",47939,Three Wishes
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",36834,Total Eclipse
"[{'id': 35, 'name': 'Comedy'}]",9090,"To Wong Foo, Thanks for Everything! Julie Newmar"
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3512,Under Siege 2: Dark Territory
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",52856,Unstrung Heroes
"[{'id': 99, 'name': 'Documentary'}]",77350,Unzipped
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9560,A Walk in the Clouds
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",9804,Waterworld
"[{'id': 18, 'name': 'Drama'}]",31611,White Man's Burden
"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",65796,Wild Bill
"[{'id': 18, 'name': 'Drama'}]",49805,The Browning Version
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}]",26258,Bushwhacked
"[{'id': 18, 'name': 'Drama'}]",50797,Утомлённые солнцем
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",19155,Before the Rain
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",76,Before Sunrise
"[{'id': 35, 'name': 'Comedy'}]",11017,Billy Madison
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",37141,The Babysitter
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",9382,Boys on the Side
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6715,The Cure
"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",18256,Castle Freak
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",22625,Circle of Friends
"[{'id': 35, 'name': 'Comedy'}]",2292,Clerks
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1909,Don Juan DeMarco
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",8984,Disclosure
"[{'id': 53, 'name': 'Thriller'}]",61813,Dream Man
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",4954,Drop Zone
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",62488,Destiny Turns on the Radio
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",10531,Death and the Maiden
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",11929,Dolores Claiborne
"[{'id': 35, 'name': 'Comedy'}]",8467,Dumb and Dumber
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",10451,飲食男女
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",20156,Exotica
"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",18395,Exit to Eden
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",522,Ed Wood
